"userid","date.crea","score","n.matches","n.updates.photo","n.photos","last.connex","last.up.photo","last.pr.update","gender","sent.ana","length.prof","voyage","laugh","photo.keke","photo.beach"
1,2011-09-17,1.49583411412246,11,5,6,2011-10-07,2011-10-02,NA,1,6.49044552615039,0,0,0,0,0
2,2017-01-17,8.94686264387116,56,2,6,2017-01-31,2017-02-03,NA,1,4.58912525157687,20.7228618033709,0,0,0,1
3,2019-05-14,2.49619943572884,13,3,4,2019-06-17,2019-06-19,NA,1,6.47318241934215,31.3992773574411,0,0,0,1
4,2015-11-27,2.82357919213828,32,5,2,2016-01-15,2015-12-09,NA,0,5.36898248586545,0,0,0,0,1
5,2014-11-28,2.11743257704757,21,1,4,2015-01-15,2015-01-02,NA,0,5.57394893880774,38.5102248697512,0,1,0,0
6,2017-06-05,1.70001438645869,14,2,6,2017-07-03,2017-06-25,NA,1,5.46466689035063,23.1122058537305,0,0,0,0
7,2010-09-22,0.950462875610271,10,1,4,2010-11-22,2010-10-14,NA,0,2.80030515017635,0,1,0,0,1
8,2018-02-22,1.16534054351791,9,1,3,2018-04-01,2018-02-22,NA,0,3.8598914137736,31.4413041434598,1,0,0,0
9,2018-04-10,0.908550083341577,6,-1,4,2018-05-11,2018-04-28,NA,1,3.54795610082572,22.4180511386585,0,0,0,0
10,2015-04-23,3.04664537224296,31,2,5,2015-05-14,2015-05-07,NA,1,8.39237291178746,0,1,0,0,0
11,2010-06-23,1.77784912288978,25,3,1,2010-08-27,2010-07-11,NA,0,6.48575319647867,35.9354931823672,1,0,1,0
12,2019-06-29,0.995940100835749,6,2,5,2019-08-04,2019-07-22,NA,1,4.49392150853951,39.0066292146471,0,0,0,0
13,2016-11-03,1.86678523480816,15,1,2,2017-01-06,2016-12-02,NA,0,4.88376015538719,0,0,0,0,0
14,2010-10-08,2.16010199274043,18,2,3,2010-11-08,2010-10-31,NA,1,5.99381660682835,0,0,0,0,0
15,2010-02-21,2.58352163131645,33,3,2,2010-03-12,2010-02-21,NA,0,7.11327827934957,0,0,0,1,0
